InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,22633,HAND WARMER UNION JACK,1,2011-11-18 19:37,1.85,12766,United Kingdom
536366,71053,WHITE METAL LANTERN,10,2011-03-17 21:24,3.39,13016,United Kingdom
536367,47566,PARTY BUNTING,16,2011-09-14 00:54,4.95,14061,United Kingdom
536368,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2010-12-06 23:31,3.39,18938,United Kingdom
536369,22632,HAND WARMER RED POLKA DOT,3,2011-03-08 04:11,1.85,17991,United Kingdom
536370,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-11-06 02:38,3.39,14568,United Kingdom
536371,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-05-18 22:24,3.39,13076,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,3,2011-09-13 06:58,1.85,14690,United Kingdom
536373,71053,WHITE METAL LANTERN,2,2011-04-05 13:53,3.39,17134,United Kingdom
536374,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-06-25 07:24,3.39,13478,United Kingdom
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2011-03-05 22:21,3.39,18278,United Kingdom
536376,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2010-12-28 15:46,2.55,18949,United Kingdom
536377,22752,SET 7 BABUSHKA NESTING BOXES,13,2011-06-29 19:02,7.65,15890,France
536378,71053,WHITE METAL LANTERN,1,2011-11-24 19:08,3.39,14811,United Kingdom
536379,84029E,RED WOOLLY HOTTIE WHITE HEART,16,2011-04-22 18:31,3.39,17991,United Kingdom
536380,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2011-11-21 19:22,2.55,13757,Netherlands
536381,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2010-12-27 21:50,3.39,13016,United Kingdom
536382,22633,HAND WARMER UNION JACK,17,2011-04-19 18:45,1.85,17279,United Kingdom
536383,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-13 16:58,2.55,14777,United Kingdom
536384,22632,HAND WARMER RED POLKA DOT,10,2011-07-29 16:38,1.85,13998,Germany
536385,22633,HAND WARMER UNION JACK,14,2011-10-18 10:08,1.85,15397,United Kingdom
536386,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-09-14 18:51,7.65,16514,United Kingdom
536387,47566,PARTY BUNTING,17,2011-07-11 18:05,4.95,13076,United Kingdom
536388,22752,SET 7 BABUSHKA NESTING BOXES,16,2011-06-02 21:12,7.65,12975,United Kingdom
536389,47566,PARTY BUNTING,3,2011-09-18 12:33,4.95,18231,United Kingdom
536390,22632,HAND WARMER RED POLKA DOT,4,2011-06-15 14:11,1.85,18628,United Kingdom
536391,84406B,CREAM CUPID HEARTS COAT HANGER,15,2011-07-03 12:44,2.75,12995,United Kingdom
536392,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,2011-04-21 06:38,4.25,14690,United Kingdom
536393,22752,SET 7 BABUSHKA NESTING BOXES,17,2011-06-20 19:46,7.65,18668,United Kingdom
536394,22752,SET 7 BABUSHKA NESTING BOXES,11,2011-01-08 20:52,7.65,18863,United Kingdom
536395,84029E,RED WOOLLY HOTTIE WHITE HEART,7,2011-11-24 01:12,3.39,13363,Germany
536396,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15,2011-03-02 22:36,3.39,12804,Spain
536397,47566,PARTY BUNTING,19,2011-06-23 19:31,4.95,18242,United Kingdom
536398,47566,PARTY BUNTING,5,2011-03-05 04:25,4.95,17463,United Kingdom
536399,22632,HAND WARMER RED POLKA DOT,12,2010-12-01 00:00,1.85,16474,United Kingdom
536400,71053,WHITE METAL LANTERN,16,2011-09-05 01:38,3.39,12161,United Kingdom
536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2011-10-30 09:11,2.55,13597,United Kingdom
536402,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-10-21 09:54,3.39,13585,United Kingdom
536403,84029E,RED WOOLLY HOTTIE WHITE HEART,14,2011-12-06 18:10,3.39,17353,United Kingdom
536404,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2011-11-19 13:33,3.39,14237,United Kingdom
536405,84029E,RED WOOLLY HOTTIE WHITE HEART,7,2011-05-15 04:42,3.39,18439,United Kingdom
